date,open_price,high_price,low_price,close_price,volume_price,adjclose_price
2021-01-28,265,483,112,193,58815800,193
2021-01-27,354,380,249,347,93396700,347
2021-01-26,88,150,80,147,178588000,147
2021-01-25,96,159,61,76,177874000,76
2021-01-22,42,76,42,65,196784300,65
2021-01-21,39,44,37,43,57079800,43
2021-01-20,37,41,36,39,33471800,39
2021-01-19,41,45,36,39,74721900,39
2021-01-15,38,40,34,35,46752200,35
2021-01-14,38,43,33,39,93717400,39
2021-01-13,20,38,20,31,144501700,31
2021-01-12,19,20,19,19,7060700,19
2021-01-11,19,20,19,19,14927600,19
2021-01-08,18,18,17,17,6464500,17
2021-01-07,18,19,18,18,6129300,18
2021-01-06,17,18,17,18,6056200,18
2021-01-05,17,18,17,17,4961500,17
2021-01-04,19,19,17,17,10022500,17
2020-12-31,19,19,18,18,6918900,18
2020-12-30,19,20,18,19,5934400,19
2020-12-29,20,21,18,19,9241400,19
2020-12-28,21,21,20,20,8965900,20
2020-12-24,21,21,19,20,6262200,20
2020-12-23,20,22,19,20,25830300,20
2020-12-22,16,20,16,19,30652700,19
2020-12-21,15,16,15,15,9876100,15
2020-12-18,15,16,15,15,16618800,15
2020-12-17,13,14,13,14,8194900,14
2020-12-16,13,14,13,13,5865100,13
2020-12-15,12,14,12,13,8192900,13
2020-12-14,13,13,12,12,10007100,12
2020-12-11,13,14,13,13,7496900,13
2020-12-10,13,14,13,14,7558900,14
2020-12-09,13,14,13,13,24357900,13
2020-12-08,16,17,15,16,16120200,16
2020-12-07,17,17,16,16,7386300,16
2020-12-04,16,17,16,16,8972700,16
2020-12-03,16,16,15,16,6295000,16
2020-12-02,15,16,15,16,7883400,16
2020-12-01,17,17,15,15,12666000,15
2020-11-30,18,19,16,16,31983500,16
2020-11-27,15,16,14,16,12504200,16
2020-11-25,13,15,13,14,8860100,14
2020-11-24,14,14,13,13,7183200,13
2020-11-23,12,14,12,13,9599100,13
2020-11-20,12,13,12,12,8395400,12
2020-11-19,11,12,11,12,11787600,12
2020-11-18,11,12,11,11,3169200,11
2020-11-17,11,11,11,11,6678200,11
2020-11-16,11,12,10,12,9774800,12
2020-11-13,11,11,11,11,3535900,11
2020-11-12,11,11,10,11,4353300,11
2020-11-11,11,11,11,11,4882600,11
2020-11-10,11,11,10,11,3826000,11
2020-11-09,12,12,11,11,6244900,11
2020-11-06,11,12,11,11,5518200,11
2020-11-05,11,11,11,11,4705200,11
2020-11-04,11,11,10,10,5807900,10
2020-11-03,10,11,10,11,7454500,11
2020-11-02,10,11,10,10,5227000,10
2020-10-30,11,11,10,10,11546900,10
2020-10-29,11,12,11,11,4165800,11
2020-10-28,12,13,11,11,6388600,11
2020-10-27,13,13,12,12,7231000,12
2020-10-26,14,15,13,13,13376300,13
2020-10-23,15,15,14,15,6507300,15
2020-10-22,14,15,14,14,16212200,14
2020-10-21,13,14,13,14,5361900,14
2020-10-20,14,14,13,13,6604000,13
2020-10-19,13,14,13,13,13169100,13
2020-10-16,13,13,13,13,11651600,13
2020-10-15,11,15,11,13,39894800,13
2020-10-14,12,12,12,12,10776800,12
2020-10-13,11,12,11,11,10179700,11
2020-10-12,11,12,11,11,23655700,11
2020-10-09,12,14,11,12,77152800,12
2020-10-08,9,13,9,13,76453600,13
2020-10-07,9,9,9,9,3308600,9
2020-10-06,9,9,9,9,4535400,9
2020-10-05,9,9,9,9,2805000,9
2020-10-02,9,9,9,9,4340500,9
2020-10-01,10,10,9,9,4554100,9
2020-09-30,10,10,10,10,6079000,10
2020-09-29,10,10,9,10,5237600,10
2020-09-28,10,10,9,10,6764300,10
2020-09-25,9,10,9,10,7515200,10
2020-09-24,9,9,9,9,7938800,9
2020-09-23,10,10,9,10,10651200,10
2020-09-22,10,11,9,10,34752500,10
2020-09-21,9,9,8,8,7639800,8
2020-09-18,9,9,8,9,17407500,9
2020-09-17,8,9,8,9,17026700,9
2020-09-16,7,9,7,8,19256300,8
2020-09-15,6,7,6,7,5743500,7
2020-09-14,6,7,6,6,10119000,6
2020-09-11,6,6,5,6,6061200,6
2020-09-10,6,6,6,6,15558300,6
2020-09-09,7,7,7,7,9068100,7
2020-09-08,7,8,7,7,9816600,7
2020-09-04,7,7,7,7,7662000,7
2020-09-03,7,8,7,7,14344500,7
2020-09-02,7,8,7,7,13011100,7
2020-09-01,7,7,6,7,23211000,7
2020-08-31,5,7,5,6,37976000,6
2020-08-28,5,5,5,5,4236900,5
2020-08-27,5,5,5,5,3384400,5
2020-08-26,4,5,4,5,2779700,5
2020-08-25,4,5,4,4,2998700,4
2020-08-24,5,5,4,4,4585400,4
2020-08-21,4,5,4,5,10642600,5
2020-08-20,4,4,4,4,2441200,4
2020-08-19,4,4,4,4,2612600,4
2020-08-18,4,4,4,4,3834400,4
2020-08-17,4,4,4,4,2371000,4
2020-08-14,4,4,4,4,3474400,4
2020-08-13,4,4,4,4,2128300,4
2020-08-12,4,4,4,4,3057600,4
2020-08-11,4,4,4,4,3138800,4
2020-08-10,4,4,4,4,4561800,4
2020-08-07,4,4,4,4,3341100,4
2020-08-06,4,4,4,4,1901200,4
2020-08-05,4,4,4,4,4925700,4
2020-08-04,4,4,4,4,10361400,4
2020-08-03,4,4,4,4,2517600,4
2020-07-31,4,4,3,4,1879400,4
2020-07-30,4,4,3,4,2398500,4
2020-07-29,3,4,3,4,2879600,4
2020-07-28,3,4,3,3,4555400,3
2020-07-27,4,4,3,4,2472700,4
2020-07-24,4,4,4,4,2215900,4
2020-07-23,4,4,4,4,3237200,4
2020-07-22,4,4,3,4,2523500,4
2020-07-21,3,4,3,4,3341000,4
2020-07-20,3,4,3,3,3401100,3
2020-07-17,4,4,3,3,3065900,3
2020-07-16,4,4,4,4,1330100,4
2020-07-15,4,4,4,4,1474100,4
2020-07-14,4,4,4,4,2261600,4
2020-07-13,4,4,4,4,4216200,4
2020-07-10,4,4,4,4,1410800,4
2020-07-09,4,4,4,4,1992600,4
2020-07-08,4,4,4,4,2052800,4
2020-07-07,4,4,4,4,2456600,4
2020-07-06,4,4,4,4,2140900,4
2020-07-02,4,4,4,4,1887600,4
2020-07-01,4,4,4,4,2303700,4
2020-06-30,4,4,4,4,3889000,4
2020-06-29,4,4,4,4,2131200,4
2020-06-26,4,4,4,4,3801200,4
2020-06-25,4,4,4,4,2450800,4
2020-06-24,4,4,4,4,2976200,4
2020-06-23,4,4,4,4,3205400,4
2020-06-22,4,4,4,4,3178900,4
2020-06-19,4,5,4,4,7366600,4
2020-06-18,4,4,4,4,3423800,4
2020-06-17,4,4,4,4,3593500,4
2020-06-16,4,4,4,4,3121300,4
2020-06-15,4,4,4,4,3909000,4
2020-06-12,4,4,4,4,4378200,4
2020-06-11,4,4,4,4,6236000,4
2020-06-10,4,5,4,5,10606400,5
